snr_db,window,stat,cond,n_seeds,auc_mean,ci_lo,ci_hi,seed0,seed1,seed2,seed3,seed4
5.0,1,conf_d,CDLD,5,0.6909468315972223,0.5869535884054208,0.7949400747890237,0.6913286675347222,0.6205886501736111,0.6151627604166666,0.8218858506944444,0.7057682291666667
5.0,1,conf_d,CDLE,5,0.7743958333333334,0.6962753896310792,0.8525162770355876,0.7837982855902778,0.7229399956597222,0.7114995659722222,0.8694992404513889,0.7842420789930555
5.0,1,conf_d,S2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1,conf_d,V30,5,0.5381759982638888,0.528513882833976,0.5478381136938016,0.5259147135416666,0.5391449652777778,0.5362603081597223,0.5446408420138888,0.5449191623263889
5.0,1,conf_d,V90,5,0.7161165364583333,0.7039259589786994,0.7283071139379672,0.7298350694444444,0.7121440972222223,0.7149886067708333,0.7202685546875,0.7033463541666667
5.0,1,conf_d,V150,5,0.8185034722222222,0.8057631514809953,0.8312437929634491,0.8318863932291667,0.81939453125,0.8071956380208334,0.8096392144097222,0.8244015842013889
5.0,1,conf_d,V250,5,0.8960629340277778,0.8881848195236547,0.9039410485319009,0.9031060112847222,0.902451171875,0.8891471354166667,0.8936876085069444,0.8919227430555555
5.0,1,conf_d,V400,5,0.9496369357638889,0.9470214321708726,0.9522524393569051,0.9490223524305555,0.9483767361111111,0.9489279513888889,0.9484852430555556,0.9533723958333333
5.0,1,crcfail_a,DS200,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.0,1,crcfail_a,DS300,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
