cond,snr_db,receiver,mode,slot,rolling_bler,ci_lo,ci_hi,n_seeds
S2,3.0,AINR,gated,180,0.44400000000000006,-0.18629584605112437,1.0742958460511245,5
S2,3.0,AINR,gated,190,0.44400000000000006,-0.18629584605112437,1.0742958460511245,5
S2,3.0,AINR,gated,200,0.44000000000000006,-0.19482917956833257,1.0748291795683327,5
S2,3.0,AINR,gated,210,0.43200000000000005,-0.2118958712046196,1.0758958712046196,5
S2,3.0,AINR,gated,220,0.43600000000000005,-0.2035232580844979,1.075523258084498,5
S2,3.0,AINR,gated,230,0.44400000000000006,-0.18678486454818877,1.0747848645481888,5
S2,3.0,AINR,gated,240,0.43600000000000005,-0.20400522609177618,1.0760052260917763,5
S2,3.0,AINR,gated,250,0.42800000000000005,-0.22090458219139186,1.0769045821913918,5
S2,3.0,AINR,gated,260,0.42800000000000005,-0.22090458219139186,1.0769045821913918,5
S2,3.0,AINR,gated,270,0.42400000000000004,-0.2291199841940028,1.077119984194003,5
S2,3.0,AINR,gated,280,0.40800000000000003,-0.2633258246858552,1.0793258246858553,5
S2,3.0,AINR,gated,290,0.40800000000000003,-0.2633258246858552,1.0793258246858553,5
S2,3.0,AINR,gated,300,0.40800000000000003,-0.2633258246858552,1.0793258246858553,5
S2,3.0,AINR,gated,310,0.40800000000000003,-0.2630961309628126,1.0790961309628126,5
S2,3.0,AINR,gated,320,0.40800000000000003,-0.2630961309628126,1.0790961309628126,5
S2,3.0,AINR,gated,330,0.42400000000000004,-0.2288838854319254,1.0768838854319256,5
S2,3.0,AINR,gated,340,0.43200000000000005,-0.21213526440588815,1.0761352644058881,5
S2,3.0,AINR,gated,350,0.44000000000000006,-0.1960423073317039,1.076042307331704,5
S2,3.0,AINR,gated,360,0.44000000000000006,-0.1960423073317039,1.076042307331704,5
S2,3.0,AINR,gated,370,0.44000000000000006,-0.19531470864853773,1.0753147086485377,5
S2,3.0,AINR,gated,380,0.43200000000000005,-0.21285291078036128,1.0768529107803615,5
S2,3.0,AINR,gated,390,0.42800000000000005,-0.22042922897970174,1.076429228979702,5
S2,3.0,AINR,gated,400,0.42000000000000004,-0.23749596761932623,1.0774959676193263,5
S2,3.0,AINR,gated,410,0.41600000000000004,-0.24602934816764976,1.0780293481676497,5
S2,3.0,AINR,gated,420,0.41600000000000004,-0.24602934816764976,1.0780293481676497,5
S2,3.0,AINR,gated,430,0.41200000000000003,-0.254716915153952,1.0787169151539522,5
S2,3.0,AINR,gated,440,0.42000000000000004,-0.23843323960992613,1.078433239609926,5
S2,3.0,AINR,gated,450,0.42000000000000004,-0.23843323960992613,1.078433239609926,5
S2,3.0,AINR,gated,460,0.42000000000000004,-0.23843323960992613,1.078433239609926,5
S2,3.0,AINR,gated,470,0.42400000000000004,-0.2291199841940028,1.077119984194003,5
S2,3.0,AINR,gated,480,0.42000000000000004,-0.23749596761932623,1.0774959676193263,5
S2,3.0,AINR,gated,490,0.40800000000000003,-0.2630961309628126,1.0790961309628126,5
S2,3.0,AINR,gated,500,0.41600000000000004,-0.24649494309697006,1.0784949430969701,5
S2,3.0,AINR,gated,510,0.42000000000000004,-0.23773041083149038,1.0777304108314905,5
S2,3.0,AINR,gated,520,0.41600000000000004,-0.24626218654862841,1.0782621865486286,5
S2,3.0,AINR,gated,530,0.41600000000000004,-0.24626218654862841,1.0782621865486286,5
S2,3.0,AINR,gated,540,0.42400000000000004,-0.22959192585844312,1.0775919258584432,5
S2,3.0,AINR,gated,550,0.41600000000000004,-0.24649494309697006,1.0784949430969701,5
S2,3.0,AINR,gated,560,0.41200000000000003,-0.254716915153952,1.0787169151539522,5
S2,3.0,AINR,gated,570,0.40800000000000003,-0.2630961309628126,1.0790961309628126,5
S2,3.0,AINR,gated,580,0.41200000000000003,-0.25448563304509053,1.0784856330450907,5
S2,3.0,AINR,gated,590,0.40800000000000003,-0.2630961309628126,1.0790961309628126,5
S2,3.0,AINR,gated,600,0.40800000000000003,-0.2630961309628126,1.0790961309628126,5
S2,3.0,AINR,gated,610,0.40800000000000003,-0.2630961309628126,1.0790961309628126,5
S2,3.0,AINR,gated,620,0.41200000000000003,-0.25448563304509053,1.0784856330450907,5
S2,3.0,AINR,gated,630,0.41200000000000003,-0.25448563304509053,1.0784856330450907,5
S2,3.0,AINR,gated,640,0.41200000000000003,-0.254716915153952,1.0787169151539522,5
S2,3.0,AINR,gated,650,0.41200000000000003,-0.254716915153952,1.0787169151539522,5
S2,3.0,AINR,gated,660,0.41200000000000003,-0.254716915153952,1.0787169151539522,5
S2,3.0,AINR,gated,670,0.41200000000000003,-0.254716915153952,1.0787169151539522,5
S2,3.0,AINR,gated,680,0.41600000000000004,-0.24649494309697006,1.0784949430969701,5
S2,3.0,AINR,gated,690,0.41200000000000003,-0.254716915153952,1.0787169151539522,5
S2,3.0,AINR,gated,700,0.42000000000000004,-0.23796477050785048,1.0779647705078506,5
S2,3.0,AINR,gated,710,0.42400000000000004,-0.2291199841940028,1.077119984194003,5
S2,3.0,AINR,gated,720,0.42000000000000004,-0.23773041083149038,1.0777304108314905,5
S2,3.0,AINR,gated,730,0.42000000000000004,-0.23749596761932623,1.0774959676193263,5
