seed,cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,resid,tdisp,conf_a,conf_d,cf,ct,ymag,crc_a,crc_d,err_AINR,err_DiscNRX,err_LS-LIN,err_LS-LMMSE,err_PCSI
4,CDLB,B,100.0,3.0,10.0,test,8,3,0.27699485421180725,0.003184611676260829,0.9935174584388733,0.9946233630180359,0.6641445755958557,0.9080447554588318,0.8544631600379944,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,4,0.35148537158966064,0.0040106321685016155,0.983856201171875,0.9850619435310364,0.7609574794769287,0.9094083905220032,0.8865954279899597,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,5,0.3166659474372864,0.0018512748647481203,0.9883973002433777,0.9862503409385681,0.6688026785850525,0.9030328989028931,0.8230646252632141,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,6,0.36960116028785706,0.003810315392911434,0.9689424633979797,0.9741866588592529,0.7669057846069336,0.9012176394462585,0.873153805732727,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,7,0.2921518087387085,0.00503067160025239,0.9942277073860168,0.994242787361145,0.7156850099563599,0.9055575728416443,0.8492632508277893,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,8,0.44180113077163696,0.003227405482903123,0.9791976809501648,0.9771143794059753,0.8544802665710449,0.910511314868927,0.9051539897918701,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,9,0.32681697607040405,0.002230557380244136,0.9903311133384705,0.9922303557395935,0.8108588457107544,0.9177788496017456,0.9205253720283508,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,10,0.35731151700019836,0.0016730171628296375,0.9921180605888367,0.9948123097419739,0.8134070634841919,0.9086620807647705,0.893577516078949,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,11,0.2374141812324524,0.0022155276965349913,0.9902275800704956,0.986068606376648,0.815447211265564,0.9105963706970215,0.8785035610198975,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4,CDLB,B,100.0,3.0,10.0,test,8,12,0.42691078782081604,0.004801030270755291,0.9896097779273987,0.9910560846328735,0.7559497356414795,0.9088085889816284,0.8717060685157776,1.0,1.0,0.0,0.0,0.0,0.0,0.0
