cond,cdl,ds_ns,speed_kmh,snr_db,stream,batch,slot,err_Broad,err_DiscNRX,err_AINR,err_LS-LIN,err_LS-LMMSE,conf_b,conf_d,crc_b
S1,C,100.0,3.0,5.0,val,3,11,0.0,0.0,0.0,0.0,0.0,0.8799688816070557,0.9090948104858398,1.0
S1,C,100.0,3.0,5.0,val,3,12,0.0,0.0,0.0,0.0,0.0,0.909433126449585,0.9062612652778625,1.0
S1,C,100.0,3.0,5.0,val,3,13,0.0,0.0,0.0,0.0,0.0,0.8919584155082703,0.8938926458358765,1.0
S1,C,100.0,3.0,5.0,val,3,14,0.0,0.0,0.0,0.0,0.0,0.9013609290122986,0.9047791361808777,1.0
S1,C,100.0,3.0,5.0,val,3,15,0.0,0.0,0.0,0.0,0.0,0.9071038365364075,0.906227707862854,1.0
S1,C,100.0,3.0,5.0,val,3,16,0.0,0.0,0.0,0.0,0.0,0.9122887253761292,0.9077286124229431,1.0
S1,C,100.0,3.0,5.0,val,3,17,0.0,0.0,0.0,1.0,0.0,0.8990291357040405,0.9006727337837219,1.0
S1,C,100.0,3.0,5.0,val,3,18,0.0,0.0,0.0,0.0,0.0,0.9016234278678894,0.9171470403671265,1.0
S1,C,100.0,3.0,5.0,val,3,19,0.0,0.0,0.0,0.0,0.0,0.9111038446426392,0.9048811197280884,1.0
S1,C,100.0,3.0,5.0,val,3,20,0.0,0.0,0.0,0.0,0.0,0.913347601890564,0.9161494374275208,1.0
S1,C,100.0,3.0,5.0,val,3,21,0.0,0.0,0.0,0.0,0.0,0.9043282270431519,0.9072110652923584,1.0
S1,C,100.0,3.0,5.0,val,3,22,0.0,0.0,0.0,0.0,0.0,0.8686829805374146,0.8940706253051758,1.0
S1,C,100.0,3.0,5.0,val,3,23,0.0,0.0,0.0,0.0,0.0,0.9124957919120789,0.9008232355117798,1.0
S1,C,100.0,3.0,5.0,val,3,24,0.0,0.0,0.0,0.0,0.0,0.912224292755127,0.9035367369651794,1.0
S1,C,100.0,3.0,5.0,val,3,25,0.0,0.0,0.0,0.0,0.0,0.8951529860496521,0.8967428207397461,1.0
S1,C,100.0,3.0,5.0,val,3,26,0.0,0.0,0.0,0.0,0.0,0.8843104839324951,0.897225558757782,1.0
S1,C,100.0,3.0,5.0,val,3,27,0.0,0.0,0.0,0.0,0.0,0.9196211099624634,0.9141120314598083,1.0
S1,C,100.0,3.0,5.0,val,3,28,0.0,0.0,0.0,0.0,0.0,0.9100390076637268,0.9140827059745789,1.0
S1,C,100.0,3.0,5.0,val,3,29,0.0,0.0,0.0,0.0,0.0,0.893376886844635,0.8855503797531128,1.0
S1,C,100.0,3.0,5.0,val,3,30,0.0,0.0,0.0,0.0,0.0,0.9062648415565491,0.9062291383743286,1.0
S1,C,100.0,3.0,5.0,val,3,31,0.0,0.0,0.0,0.0,0.0,0.9057707190513611,0.9088672399520874,1.0
S1,C,100.0,3.0,5.0,test,0,0,0.0,0.0,0.0,0.0,0.0,0.9064198732376099,0.9097080230712891,1.0
S1,C,100.0,3.0,5.0,test,0,1,0.0,0.0,0.0,0.0,0.0,0.9037408828735352,0.9021108746528625,1.0
S1,C,100.0,3.0,5.0,test,0,2,0.0,0.0,0.0,0.0,0.0,0.9017195105552673,0.9025542736053467,1.0
S1,C,100.0,3.0,5.0,test,0,3,0.0,0.0,0.0,0.0,0.0,0.9132763743400574,0.9166122078895569,1.0
S1,C,100.0,3.0,5.0,test,0,4,0.0,0.0,0.0,1.0,0.0,0.9100518822669983,0.9024825692176819,1.0
S1,C,100.0,3.0,5.0,test,0,5,0.0,0.0,0.0,0.0,0.0,0.9024760723114014,0.911927342414856,1.0
S1,C,100.0,3.0,5.0,test,0,6,0.0,0.0,0.0,0.0,0.0,0.9033170938491821,0.8989285826683044,1.0
S1,C,100.0,3.0,5.0,test,0,7,0.0,0.0,0.0,0.0,0.0,0.8982275724411011,0.9133229851722717,1.0
S1,C,100.0,3.0,5.0,test,0,8,0.0,0.0,0.0,1.0,0.0,0.8910305500030518,0.8971071839332581,1.0
S1,C,100.0,3.0,5.0,test,0,9,0.0,0.0,0.0,0.0,0.0,0.9080841541290283,0.9099031090736389,1.0
S1,C,100.0,3.0,5.0,test,0,10,0.0,0.0,0.0,0.0,0.0,0.8999067544937134,0.9026238918304443,1.0
S1,C,100.0,3.0,5.0,test,0,11,0.0,0.0,0.0,0.0,0.0,0.9097055792808533,0.9064394235610962,1.0
S1,C,100.0,3.0,5.0,test,0,12,0.0,0.0,0.0,0.0,0.0,0.8811365962028503,0.905569314956665,1.0
S1,C,100.0,3.0,5.0,test,0,13,0.0,0.0,0.0,0.0,0.0,0.9130270481109619,0.9048864841461182,1.0
S1,C,100.0,3.0,5.0,test,0,14,0.0,0.0,0.0,0.0,0.0,0.8870521783828735,0.8790753483772278,1.0
S1,C,100.0,3.0,5.0,test,0,15,0.0,0.0,0.0,0.0,0.0,0.9120303988456726,0.8981489539146423,1.0
S1,C,100.0,3.0,5.0,test,0,16,0.0,0.0,0.0,0.0,0.0,0.8888776302337646,0.894834041595459,1.0
